SNo,Di00,Di01,Di02,Di03,Di04,Di05,Do00,Do01,Do02
0,0,0,1,1,1,1,0,0,0
1,0,1,0,1,1,1,1,1,0
2,0,0,1,1,1,0,0,0,1
3,0,0,1,0,0,0,0,1,0
4,0,1,1,1,1,0,1,0,1
5,1,0,0,0,1,0,1,0,1
6,0,1,0,0,0,1,1,0,1
7,1,1,1,1,0,1,0,0,1
8,0,0,1,1,1,1,0,0,0
9,1,1,0,0,1,0,0,0,1
10,1,0,0,1,1,0,1,1,1
11,1,1,0,0,1,0,0,0,1
12,0,0,1,1,1,0,0,0,1
13,1,0,1,1,0,0,1,0,0
14,0,0,1,0,0,0,0,1,0
15,1,1,1,1,0,0,0,0,0
16,1,1,1,0,0,0,0,1,0
17,0,0,1,1,0,1,0,0,1
18,1,0,1,0,1,1,1,1,0
19,0,1,1,1,0,1,1,0,1
20,1,1,1,0,0,1,0,1,1
21,1,0,1,1,1,1,1,0,0
22,0,0,0,1,0,0,0,1,0
23,0,1,1,1,0,1,1,0,1
24,0,1,0,1,1,0,1,1,1
25,0,0,1,0,0,1,0,1,1
26,1,0,1,0,1,0,1,1,1
27,1,0,1,1,1,0,1,0,1
28,1,1,0,0,0,0,0,0,0
29,0,0,0,1,1,0,0,1,1
30,1,1,1,0,1,1,0,1,0
31,0,0,1,0,0,0,0,1,0
32,1,0,1,1,1,0,1,0,1
33,0,1,0,1,0,1,1,1,1
34,0,1,1,0,0,0,1,1,0
35,0,1,1,0,0,1,1,1,1
36,0,1,1,0,1,0,1,1,1
37,0,0,1,0,1,0,0,1,1
38,1,0,0,0,1,0,1,0,1
39,0,1,1,0,0,1,1,1,1
40,1,1,0,1,0,0,0,1,0
41,0,1,0,1,0,0,1,1,0
42,0,1,1,0,0,1,1,1,1
43,1,1,0,0,1,1,0,0,0
44,0,0,0,1,0,0,0,1,0
45,0,1,1,0,0,1,1,1,1
46,0,1,0,1,1,0,1,1,1
47,0,1,1,1,1,1,1,0,0
48,1,0,1,1,0,0,1,0,0
49,0,1,0,0,0,0,1,0,0
50,1,1,0,1,1,1,0,1,0
51,1,0,1,1,1,0,1,0,1
52,1,0,1,0,0,0,1,1,0
53,1,0,0,1,0,0,1,1,0
54,1,0,1,0,1,1,1,1,0
55,1,1,1,1,1,0,0,0,1
56,1,1,1,0,0,1,0,1,1
57,1,1,0,0,0,0,0,0,0
58,1,0,0,0,0,1,1,0,1
59,0,1,1,0,1,0,1,1,1
60,0,0,1,0,1,1,0,1,0
61,1,1,0,1,1,1,0,1,0
